"","application","case","highest_frame","exception_name","avg_time.De-MO","avg_time.Single","avg_time.SPEA2","reproduction_rate.De-MO_60 seconds budget","reproduction_rate.Single_60 seconds budget","reproduction_rate.SPEA2_60 seconds budget","reproduction_rate.De-MO_120 seconds budget","reproduction_rate.Single_120 seconds budget","reproduction_rate.SPEA2_120 seconds budget","reproduction_rate.De-MO_180 seconds budget","reproduction_rate.Single_180 seconds budget","reproduction_rate.SPEA2_180 seconds budget","reproduction_rate.De-MO_240 seconds budget","reproduction_rate.Single_240 seconds budget","reproduction_rate.SPEA2_240 seconds budget","reproduction_rate.De-MO_300 seconds budget","reproduction_rate.Single_300 seconds budget","reproduction_rate.SPEA2_300 seconds budget","number.of.classes","number.of.methods"
"1","chart","CHART-4b",6,"java.lang.NullPointerException",8.3,5.33333333333333,4.46666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6
"2","lang","LANG-12b",2,"java.lang.ArrayIndexOutOfBoundsException",12.6333333333333,15.8333333333333,8.66666666666667,0.966666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","lang","LANG-16b",1,"java.lang.NumberFormatException",1.2,1.16666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","lang","LANG-19b",3,"java.lang.StringIndexOutOfBoundsException",300,300,281.8,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.133333333333333,0,0,0.166666666666667,2,2
"5","lang","LANG-1b",2,"java.lang.NumberFormatException",2.63333333333333,2.83333333333333,0.733333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"6","lang","LANG-20b",2,"java.lang.NullPointerException",300,283.633333333333,290.266666666667,0,0,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0,0.1,0.0333333333333333,0,0.166666666666667,0.0333333333333333,1,1
"7","lang","LANG-27b",1,"java.lang.StringIndexOutOfBoundsException",16.2,12.8666666666667,19.1666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","lang","LANG-2b",1,"java.lang.IllegalArgumentException",0,0.2,0.133333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","lang","LANG-33b",1,"java.lang.NullPointerException",8.43333333333333,8.56666666666667,6.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","lang","LANG-35b",2,"java.text.ParseException",5.23333333333333,5.63333333333333,3.43333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"11","lang","LANG-36b",1,"java.lang.NumberFormatException",1,1.06666666666667,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","lang","LANG-39b",2,"java.lang.NullPointerException",5.1,7.4,6.76666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","lang","LANG-45b",1,"java.lang.StringIndexOutOfBoundsException",1.06666666666667,1.03333333333333,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","lang","LANG-47b",1,"java.lang.NullPointerException",8.3,6.1,1.96666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","lang","LANG-51b",1,"java.lang.StringIndexOutOfBoundsException",266.7,280.133333333333,243,0.0666666666666667,0,0.1,0.1,0.0666666666666667,0.2,0.133333333333333,0.1,0.233333333333333,0.166666666666667,0.1,0.266666666666667,0.2,0.1,0.266666666666667,1,1
"16","lang","LANG-54b",1,"java.lang.IllegalArgumentException",135.2,206.866666666667,63.7,0.333333333333333,0.1,0.6,0.433333333333333,0.266666666666667,0.866666666666667,0.766666666666667,0.4,0.966666666666667,0.833333333333333,0.5,1,0.866666666666667,0.6,1,1,1
